path,sha256,bytes,lines,category,upstream_path,upstream_similarity,provisional_provenance,evidence,migration_disposition,disposition_reason,human_review_required,human_review_status,human_review_note
benchmarks/bench_kmeans.py,9c9017cd8b38aaef9deaaa35d435dffe79dea27f5afa509a021b054fef5da5e7,4215,119,benchmarks,,,project-authored-or-administrative,No automated upstream derivation signal.,behavioral-reference,Benchmark contracts inform new gates but are not copied wholesale.,false,not-required,
benchmarks/bench_knn.py,0446b888f3925084092ea986776d3d3b21c454219295aa99cd36cd9cf948eab6,4911,143,benchmarks,,,project-authored-or-administrative,No automated upstream derivation signal.,behavioral-reference,Benchmark contracts inform new gates but are not copied wholesale.,false,not-required,
benchmarks/bench_lasso.py,5411aa2dbdf4e94fa4f23bf8e78b2f1ccfd5948e1f9ce57acc46dc3d7e71a9a0,3905,115,benchmarks,,,project-authored-or-administrative,No automated upstream derivation signal.,behavioral-reference,Benchmark contracts inform new gates but are not copied wholesale.,false,not-required,
benchmarks/bench_linear_regression.py,f35c8a1194fbc3d91bceee4b36ee5f50f95be8b37b777d8727c944c44b5356be,3602,103,benchmarks,,,project-authored-or-administrative,No automated upstream derivation signal.,behavioral-reference,Benchmark contracts inform new gates but are not copied wholesale.,false,not-required,
benchmarks/bench_logistic_regression.py,f34c7dcd03beb9bab97955ee89a2c5848a4aa1a35a92b90b341d645ebe4f8c5f,4715,140,benchmarks,,,project-authored-or-administrative,No automated upstream derivation signal.,behavioral-reference,Benchmark contracts inform new gates but are not copied wholesale.,false,not-required,
benchmarks/bench_pca.py,456327af0eec348ccd277c17b600ade07c2a8cc49679f3c1ab2dec3ee8b802c9,4832,123,benchmarks,,,project-authored-or-administrative,No automated upstream derivation signal.,behavioral-reference,Benchmark contracts inform new gates but are not copied wholesale.,false,not-required,
benchmarks/bench_random_forest.py,98d6b8bc32a4290bdc0b3113e94ed96a4f730eb8b0cec9e798c934ff3ed90e24,4885,142,benchmarks,,,project-authored-or-administrative,No automated upstream derivation signal.,behavioral-reference,Benchmark contracts inform new gates but are not copied wholesale.,false,not-required,
benchmarks/bench_report.py,86f2f8e7b5295945322c5b8974d638586f6d52db3c89c0c4615f2f2f161ebe3f,4761,150,benchmarks,,,project-authored-or-administrative,No automated upstream derivation signal.,behavioral-reference,Benchmark contracts inform new gates but are not copied wholesale.,false,not-required,
benchmarks/bench_runner.py,730e4b84b67eed361b32a812fce277e1a00fa000d98f6ceb56fe32386f94b37a,11091,316,benchmarks,,,project-authored-or-administrative,No automated upstream derivation signal.,behavioral-reference,Benchmark contracts inform new gates but are not copied wholesale.,false,not-required,
benchmarks/bench_svm.py,715ce156ced019e33d9b2847fa3f56ff88ca4f58661187a6545c2713c2008c27,6346,188,benchmarks,,,project-authored-or-administrative,No automated upstream derivation signal.,behavioral-reference,Benchmark contracts inform new gates but are not copied wholesale.,false,not-required,
benchmarks/bench_tsne.py,b45a62379df9fd24fb6dac12f0659a59693fa6373a02a9cc990a93912d2e149e,5199,157,benchmarks,,,project-authored-or-administrative,No automated upstream derivation signal.,behavioral-reference,Benchmark contracts inform new gates but are not copied wholesale.,false,not-required,
dependencies-dev,94a6849189f4f87d5069b10f5f33ac05ab9816af551fb99b275f596a93a3f221,185,9,repository,dependencies-dev,0.470588,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
deselected_tests.yaml,489dc615ef98f4d26359f056d47bc98b2ed4d3f9d343fe61cf0768f5bf28dc13,35303,546,repository,deselected_tests.yaml,0.871616,derived,"Contains upstream marker(s): Intel Corporation, oneAPI Data Analytics Library, daal4py.",review,No migration decision has been made for this file.,true,pending,
doc/Makefile,a8562e869f65efdec63904217d288cc6d1f264262f4dc0fdbf7c69cf7e42ec61,780,23,docs-examples,doc/Makefile,1.000000,derived,Text similarity 1.000 to doc/Makefile.,review,No migration decision has been made for this file.,true,pending,
doc/README.md,2c8b000e0a9dcd8175652fd48a0ab23b34cc0812c60285fc55ac97b6f09d9bb3,1159,35,docs-examples,doc/README.md,0.736842,derived,Contains upstream marker(s): Intel Corporation.,review,No migration decision has been made for this file.,true,pending,
doc/build-doc.sh,0a75086319daa9be0ebeacaaed7da86361d645e41a6bafb91951ec852faf8abd,2339,58,docs-examples,doc/build-doc.sh,0.991453,derived,"Contains upstream marker(s): Intel Corporation, daal4py.",review,No migration decision has been made for this file.,true,pending,
doc/make.bat,8e7f5375b538ee9ab66ef7331f282a031a2d100b52dbb144e649a67fda5d1808,980,,docs-examples,doc/make.bat,,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
doc/scikit-learn-acceration.png,d06703776a3918857f1ae821dd9b83d592c230298780bda007d7403e08fdcd96,33300,,docs-examples,doc/scikit-learn-acceration.png,,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
doc/sources/404.rst,06fdc62ec5479410ed0bc3d155867f72665e0a530df737c7981883290f79536d,1008,26,docs-examples,doc/sources/404.rst,1.000000,derived,Contains upstream marker(s): Intel Corporation.,review,No migration decision has been made for this file.,true,pending,
doc/sources/_static/custom.css,813382e9c028631feb66306130f16ebec0b203f6ba79e61beda01022bae8e9e8,2491,132,docs-examples,doc/sources/_static/custom.css,1.000000,derived,Text similarity 1.000 to doc/sources/_static/custom.css.,review,No migration decision has been made for this file.,true,pending,
doc/sources/_static/favicon.png,9bfbd1f43f02400a700454b8808a39f96d5af68e9b54b6c8ef256833a479e8e6,745,,docs-examples,doc/sources/_static/favicon.png,,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
doc/sources/_static/scikit-learn-acceleration-2021.2.3.PNG,708d21cd2c211632d69c08dab6ba6a083273e0aa1624f614718ae4aa0df16ee7,79433,,docs-examples,doc/sources/_static/scikit-learn-acceleration-2021.2.3.PNG,,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
doc/sources/_static/scikit-learn-acceleration.PNG,5a7bf5d9d87b17bf575820a0fcb198610452adfc18cac8c33c7ff311de8a2665,128663,,docs-examples,doc/sources/_static/scikit-learn-acceleration.PNG,,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
doc/sources/_static/uxl-foundation-logo-horizontal-color.png,ca2f18406fcf849398f4c5b886ec34f06775e5ec45f4c59efe7ca50c5bbf0092,32661,,docs-examples,doc/sources/_static/uxl-foundation-logo-horizontal-color.png,,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
doc/sources/_static/version_switcher.js,06c400a8d17a486f7f21170cc751a37e265ebe72b18a6e22ad5c02532894e75d,1707,,docs-examples,doc/sources/_static/version_switcher.js,,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
doc/sources/_templates/footer.html,d7746aa4a07c5551c50b5b365114ae1307910a9bc051ddce09f0c9b79c00f69d,495,16,docs-examples,doc/sources/_templates/footer.html,1.000000,derived,Text similarity 1.000 to doc/sources/_templates/footer.html.,review,No migration decision has been made for this file.,true,pending,
doc/sources/_templates/layout.html,806677e293cb7c1d49996f6d7d0f8d3d049aa5493cbded8de10088c8d30f6c8f,1072,26,docs-examples,doc/sources/_templates/layout.html,1.000000,derived,Text similarity 1.000 to doc/sources/_templates/layout.html.,review,No migration decision has been made for this file.,true,pending,
doc/sources/_templates/versions.html,031646e2ba2553ae6dc6c89f2451ca0d6f6ea1f68825fdfc7b3293615b3f4234,873,23,docs-examples,doc/sources/_templates/versions.html,1.000000,derived,Text similarity 1.000 to doc/sources/_templates/versions.html.,review,No migration decision has been made for this file.,true,pending,
doc/sources/capabilities.rst,bb6d20ac1e12980c2965e7a59f44dcf3f681f91e3e4b5196b993dbb0e2e84c17,4102,89,docs-examples,,,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
doc/sources/conf.py,a2af323d1ee4ace53ba61a368fab4d549dcc0e1d3e45748ec64c6abc6bc124ee,8800,281,docs-examples,doc/sources/conf.py,0.969805,derived,"Contains upstream marker(s): Intel Corporation, oneAPI Data Analytics Library.",review,No migration decision has been made for this file.,true,pending,
doc/sources/config-contexts.rst,cba3b73ebff1c632b59ae0936f123ce7917dc43e2690ae0d2a41e6589b720bb1,2401,85,docs-examples,doc/sources/config-contexts.rst,0.500000,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
doc/sources/contribute.rst,eb89e296af9cb301ae0f41a3a7226383f6290d7854e7573be5a8c053d682f82e,2995,63,docs-examples,doc/sources/contribute.rst,0.960000,derived,Contains upstream marker(s): Intel Corporation.,review,No migration decision has been made for this file.,true,pending,
doc/sources/index.rst,7f952687bf465e002f6e9d6bf4419b41342488755fd989479651bbba2b62dc7d,5181,164,docs-examples,doc/sources/index.rst,0.100251,derived,Contains upstream marker(s): daal4py.,review,No migration decision has been made for this file.,true,pending,
doc/sources/license.rst,2bae337d1851d071288ec2afb1a3701f97ad9b18130fabad135edc69e450a043,788,21,docs-examples,doc/sources/license.rst,1.000000,derived,Contains upstream marker(s): Intel Corporation.,review,No migration decision has been made for this file.,true,pending,
doc/sources/quick-start.rst,0ef5266a1760c3e5007e455f53aac1f9820fb7039cfa195718a72102855f5c87,1826,72,docs-examples,,,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
doc/sources/substitutions.rst,7609351e7c29cccd6a8f5d5f6fc939a1e82ea2144444ae315f1ffba29e9bb033,1049,22,docs-examples,doc/sources/substitutions.rst,1.000000,derived,Text similarity 1.000 to doc/sources/substitutions.rst.,review,No migration decision has been made for this file.,true,pending,
doc/sources/support.rst,d5d4a11015265d0080e73f91f18ad4aecc07c311079f0c58fc9e79973a85e989,1687,46,docs-examples,doc/sources/support.rst,0.967033,derived,Contains upstream marker(s): Intel Corporation.,review,No migration decision has been made for this file.,true,pending,
doc/sources/tests.rst,f021750a848bbaa4d412fe60835a19d6566242e69696dc3998d595939ba266fa,1757,75,docs-examples,doc/sources/tests.rst,0.122449,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
doc/third-party-programs-sklearnex.txt,505d44723ac86f93c186f7884cce053b5082736923735cab93232cdef564572f,33216,630,docs-examples,doc/third-party-programs-sklearnex.txt,0.998410,derived,Text similarity 0.998 to doc/third-party-programs-sklearnex.txt.,review,No migration decision has been made for this file.,true,pending,
doc/versions.json,f6aa32ea2bc4cd4d292ef8fb82b08d888797d008db81945361d97a28bd99332b,119,9,docs-examples,doc/versions.json,1.000000,derived,Text similarity 1.000 to doc/versions.json.,review,No migration decision has been made for this file.,true,pending,
examples/README.md,bf80f3d1a5b32b168f2c626fe567611214eb7e6c0b56691a54e09a39c9ffb5f3,304,16,docs-examples,,,derived,Contains upstream marker(s): daal4py.,review,No migration decision has been made for this file.,true,pending,
examples/benchmark_comparison.ipynb,a736d3a135a8896de18c4ecebd8b58eb7b50c26438d283d2c213a3558b6690c3,171860,,docs-examples,,,project-authored-or-administrative,No automated upstream derivation signal.,review,No migration decision has been made for this file.,true,pending,
examples/mb/log_reg_model_builder.py,55e4cb9bdbb9d225f2b350a2fe2fc8bd3ea19d5ace61b38d04a1c81723e81e3a,3490,110,docs-examples,examples/mb/log_reg_model_builder.py,1.000000,derived,"Contains upstream marker(s): Intel Corporation, daal4py.",review,No migration decision has been made for this file.,true,pending,
examples/mb/model_builders_catboost.py,c0d718bbd4f9438e53a43b6a24346a498bee675a2fea408bd8448a73909becdd,3238,92,docs-examples,examples/mb/model_builders_catboost.py,1.000000,derived,"Contains upstream marker(s): Intel Corporation, daal4py.",review,No migration decision has been made for this file.,true,pending,
examples/mb/model_builders_lightgbm.py,a5631dbdee472537b79cc4d5aecbdf4aa56d9dec9cc555d46e891e5174793f7c,3423,103,docs-examples,examples/mb/model_builders_lightgbm.py,1.000000,derived,"Contains upstream marker(s): Intel Corporation, daal4py.",review,No migration decision has been made for this file.,true,pending,
examples/mb/model_builders_xgboost.py,51bae4b01abf896b7652a21a37063f34eb1fb7fab0f44e21c11f28e9b391f5c5,3358,100,docs-examples,examples/mb/model_builders_xgboost.py,1.000000,derived,"Contains upstream marker(s): Intel Corporation, daal4py.",review,No migration decision has been made for this file.,true,pending,
examples/mb/model_builders_xgboost_shap.py,e731fbe46a649033d1af5c428130a41e33bdc487d569bd5920fd710e792b1291,2841,81,docs-examples,examples/mb/model_builders_xgboost_shap.py,1.000000,derived,"Contains upstream marker(s): Intel Corporation, daal4py.",review,No migration decision has been made for this file.,true,pending,
examples/mb/readcsv.py,af9bdc743b8715f340e5727c99a08b965804403d35b54a0bd39539bd6bd7a57b,1137,29,docs-examples,examples/mb/readcsv.py,1.000000,derived,Contains upstream marker(s): Intel Corporation.,review,No migration decision has been made for this file.,true,pending,
examples/notebooks/ElasticNet.ipynb,262e4fe0cb0134447b03d3989a778c0d4ef8f7a0fe289904dd07193bde9733ae,10081,,docs-examples,examples/notebooks/ElasticNet.ipynb,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Historical sklearnex notebooks are not migration inputs.,false,not-required,
examples/notebooks/NYCTaxi-E2E-Demo/NYCTaxi-E2E-Large-Data-Optimized.ipynb,b5ba17040a07489965e3732239bc289fe01e50be01f2cc414a42150c145b35ab,25089,,docs-examples,examples/notebooks/NYCTaxi-E2E-Demo/NYCTaxi-E2E-Large-Data-Optimized.ipynb,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Historical sklearnex notebooks are not migration inputs.,false,not-required,
examples/notebooks/NYCTaxi-E2E-Demo/NYCTaxi-E2E-Small-Data.ipynb,4cc8f98ed774471397153e5b6e50448849a5a15906648a949086f4456cfae243,133060,,docs-examples,examples/notebooks/NYCTaxi-E2E-Demo/NYCTaxi-E2E-Small-Data.ipynb,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Historical sklearnex notebooks are not migration inputs.,false,not-required,
examples/notebooks/README.md,2b6d7f3c551282c5410ce857ec5de432cb9ba7eeeb8fe1d649639e50cfaabaa4,6172,55,docs-examples,examples/notebooks/README.md,0.944444,derived,Contains upstream marker(s): Intel Corporation.,drop,Historical sklearnex notebooks are not migration inputs.,false,not-required,
examples/notebooks/daal4py_data_science.ipynb,1accbda6e0a01d9751e511f95d18ccc7e01c35d3a7c6ddc905e7ddeb2b50372a,230892,,docs-examples,examples/notebooks/daal4py_data_science.ipynb,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Historical sklearnex notebooks are not migration inputs.,false,not-required,
examples/notebooks/data/cycling_dataset.csv,6c6836f7f7c8347ca55927c99f4640dc8c15f4aabee77b57b25dc21646cc1d7b,489797,3904,docs-examples,examples/notebooks/data/cycling_dataset.csv,1.000000,derived,Text similarity 1.000 to examples/notebooks/data/cycling_dataset.csv.,drop,Historical sklearnex notebooks are not migration inputs.,false,not-required,
examples/notebooks/dbscan.ipynb,85c6644b7bc71d1570a3f2cf4b0804a2643b69f612a6ee072e496cde3309bd52,9024,,docs-examples,examples/notebooks/dbscan.ipynb,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Historical sklearnex notebooks are not migration inputs.,false,not-required,
examples/notebooks/kmeans.ipynb,a1968f6dd068c24b284174118b286d535615aa9d0624d9c6f10716a62e397c37,10176,,docs-examples,examples/notebooks/kmeans.ipynb,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Historical sklearnex notebooks are not migration inputs.,false,not-required,
examples/notebooks/knn_mnist.ipynb,7bc2187c284ea617cf02006aadc21d9e11c9c4c3e5b5090c0fed65564aecb970,9628,,docs-examples,examples/notebooks/knn_mnist.ipynb,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Historical sklearnex notebooks are not migration inputs.,false,not-required,
examples/notebooks/lasso_regression.ipynb,cf4c08a12613e1bc51cc3a4f07e083f226609c9afe05ae125ca16a97a8681e3e,10328,,docs-examples,examples/notebooks/lasso_regression.ipynb,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Historical sklearnex notebooks are not migration inputs.,false,not-required,
examples/notebooks/linear_regression.ipynb,48c100d27e6537954a42523be036a116bd441d5010dac175ccc48b5361bb65bb,10320,,docs-examples,examples/notebooks/linear_regression.ipynb,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Historical sklearnex notebooks are not migration inputs.,false,not-required,
examples/notebooks/logistictic_regression_cifar.ipynb,bf26c9dc8fdee1109b5e721ed16bc32765fe0b61d46fb93639e0000c61be4a23,8899,,docs-examples,examples/notebooks/logistictic_regression_cifar.ipynb,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Historical sklearnex notebooks are not migration inputs.,false,not-required,
examples/notebooks/nusvr_medical_charges.ipynb,f1f1e25802d5fee9415426b704b6c303d9f3bace8975cc6cab9fdc2721044bb6,9067,,docs-examples,examples/notebooks/nusvr_medical_charges.ipynb,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Historical sklearnex notebooks are not migration inputs.,false,not-required,
examples/notebooks/random_forest_rain.ipynb,9290d8e4d42934a6720361a0c04fb5c0ce5416facf439c8729b56875e7ee99d0,33820,,docs-examples,examples/notebooks/random_forest_rain.ipynb,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Historical sklearnex notebooks are not migration inputs.,false,not-required,
examples/notebooks/random_forest_yolanda.ipynb,a17bc6a8e11f1751493663192662ebd11cb53b29207884dadb80496f6c75e843,8608,,docs-examples,examples/notebooks/random_forest_yolanda.ipynb,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Historical sklearnex notebooks are not migration inputs.,false,not-required,
examples/notebooks/ridge_regression.ipynb,873d91e0641e8d32e1140182b1ca19bf820189cb9338a0e8171c53422103c342,10254,,docs-examples,examples/notebooks/ridge_regression.ipynb,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Historical sklearnex notebooks are not migration inputs.,false,not-required,
examples/notebooks/ridge_regression_bike_sharing.ipynb,f2b75b3c4c22bbf3cec510a1f97f8fc08622f262ccfae345367295c97b8e434f,10853,,docs-examples,examples/notebooks/ridge_regression_bike_sharing.ipynb,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Historical sklearnex notebooks are not migration inputs.,false,not-required,
examples/notebooks/ridge_regression_fraud_detection.ipynb,f4fe7fad22a4d5d995612af68f317fa307fde2f6da1ed44c02e4c3ec266026cb,9633,,docs-examples,examples/notebooks/ridge_regression_fraud_detection.ipynb,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Historical sklearnex notebooks are not migration inputs.,false,not-required,
examples/notebooks/ridge_regression_higgs.ipynb,734960581d16474c54a6049f5994e0bf4de070e8bce053adf446c4e8dc89c4b5,9245,,docs-examples,examples/notebooks/ridge_regression_higgs.ipynb,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Historical sklearnex notebooks are not migration inputs.,false,not-required,
examples/notebooks/svc_adult.ipynb,b1789712d7204a61976b33adc3c61ff2b7c1fcc5b0468329d47bd660a6f5b31e,8612,,docs-examples,examples/notebooks/svc_adult.ipynb,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Historical sklearnex notebooks are not migration inputs.,false,not-required,
examples/notebooks/tsne.ipynb,ad1c66a6e1a3a376132044bc2f426476d6de8b7b0e63fef50ac6c6c59a1c3d99,63151,,docs-examples,examples/notebooks/tsne.ipynb,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Historical sklearnex notebooks are not migration inputs.,false,not-required,
examples/notebooks_mps/.ipynb_checkpoints/01_linear_regression_mps-checkpoint.ipynb,2b3d26773547cf59054d2534e51431a6d361c6c4774c5265304ea9d4b5f5e160,9810,,docs-examples,,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Generated and checkpoint notebooks are not migration inputs.,false,not-required,
examples/notebooks_mps/.ipynb_checkpoints/01_linear_regression_mps_2-checkpoint.ipynb,61d07df65600142afdb704d899e50e9066401f113c0bd6ebb95042204fd26c18,27004,,docs-examples,,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Generated and checkpoint notebooks are not migration inputs.,false,not-required,
examples/notebooks_mps/.ipynb_checkpoints/01_linear_regression_mps_M1_Studio-checkpoint.ipynb,a145bd6e599c253bab7bd07a40598cc46c699a8bc90b8b0caf02b4dfccf1e4ab,18124,,docs-examples,,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Generated and checkpoint notebooks are not migration inputs.,false,not-required,
examples/notebooks_mps/.ipynb_checkpoints/01_linear_regression_mps_M2_Air-checkpoint.ipynb,292f9cb00c38a28a91eb109d26af5c6f5946872868e7a189db346334bc29d03d,18199,,docs-examples,,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Generated and checkpoint notebooks are not migration inputs.,false,not-required,
examples/notebooks_mps/.ipynb_checkpoints/01_linear_regression_sklearn-checkpoint.ipynb,7087843ac79cdde42d4261d2111cbca7d79519665b83610c0826b5982324a289,6502,,docs-examples,,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Generated and checkpoint notebooks are not migration inputs.,false,not-required,
examples/notebooks_mps/.ipynb_checkpoints/01_linear_regression_sklearn_patched-checkpoint.ipynb,0da7ff3f9a2b7a760e6d628eba86543a1948c20753ea164cd9c41f62006e2b40,6501,,docs-examples,,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Generated and checkpoint notebooks are not migration inputs.,false,not-required,
examples/notebooks_mps/.ipynb_checkpoints/02_elastic_net_mps-checkpoint.ipynb,b480d2e23f3950187b471f572e0245ae7201baa1aa72427df0292be6a6319d55,18256,,docs-examples,,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Generated and checkpoint notebooks are not migration inputs.,false,not-required,
examples/notebooks_mps/.ipynb_checkpoints/02_elastic_net_sklearn-checkpoint.ipynb,64159e85cd5c9b42b3d5b04d03e72ffeb1c4f8fa4c68cb3c6c266d41b8cb4a87,6540,,docs-examples,,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Generated and checkpoint notebooks are not migration inputs.,false,not-required,
examples/notebooks_mps/.ipynb_checkpoints/02_elastic_net_sklearn_patched-checkpoint.ipynb,8944209723fd984888f2cd1742c6c797963e743ed9fdddb2f9eaf929b934a38b,6596,,docs-examples,,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Generated and checkpoint notebooks are not migration inputs.,false,not-required,
examples/notebooks_mps/.ipynb_checkpoints/03_lasso_mps-checkpoint.ipynb,230a7bd347409dcb7ad8933fab83d27a83d5d8d32f6c12652a7dace5d676086f,15435,,docs-examples,,,project-authored-or-administrative,No automated upstream derivation signal.,drop,Generated and checkpoint notebooks are not migration inputs.,false,not-required,
